,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1992,847.48,1388.92,899.17,493.99,1235.64,592.03,614.44,1196.28,1090.77,1014.55,1184.45,1391.03,1625.07,553.91,1052.14,1063.73,1009.25,917.42,1129.30,1449.26,983.37,1069.90,1107.11,933.89,796.18,1352.27,1147.18,544.44,756.83,303.03,998.52,1088.55,469.89,1217.86,1408.57,489.18,1053.97,1079.43,713.03,1166.13,1148.83,1492.71,629.42,1249.04,856.61,397.45,1044.58,1115.29,932.11,1224.02,821.98,504.98
1993,903.26,1272.72,990.53,449.51,1282.61,678.55,643.19,1174.81,1085.71,1127.94,1209.71,1119.66,1338.16,684.88,1380.95,1305.62,1376.75,1140.94,1255.02,1316.23,1149.24,1146.95,1132.54,973.83,858.33,1361.74,1428.65,680.60,994.30,316.50,1064.20,1131.44,410.48,1251.98,1258.06,698.56,1143.69,1062.18,813.25,1215.88,1137.38,1198.71,789.72,1255.25,704.50,445.75,1133.28,1117.84,895.36,1302.96,1009.65,613.29
1994,839.81,1506.63,956.56,309.73,1393.09,454.86,523.87,1251.01,1092.40,1124.92,1395.21,1482.53,1517.11,566.35,982.80,955.32,839.41,673.54,1376.83,1318.98,1125.34,1131.84,1223.00,898.47,860.83,1436.45,1074.06,517.70,614.31,269.57,1173.65,1211.52,426.51,1261.90,1310.63,668.93,1031.27,979.31,768.66,1301.50,1172.16,1361.35,627.39,1596.48,744.10,347.62,1214.70,1149.70,1122.07,1419.65,844.42,450.67
1995,860.21,1364.64,791.89,285.01,1117.50,863.73,630.79,1127.22,1012.57,1030.86,1329.58,1221.92,1166.73,830.71,1001.16,1101.85,960.03,881.43,1241.94,1372.85,1110.22,1080.16,1067.92,965.75,879.06,1329.72,1098.48,666.73,796.80,395.62,1124.53,979.95,362.64,1082.76,1348.36,664.54,1136.80,1007.71,1070.25,1149.85,1054.34,1332.13,737.02,1325.43,737.74,420.09,1156.30,1109.02,1307.83,1262.94,885.91,624.18
1996,868.70,1319.84,758.18,231.06,1241.85,797.85,584.12,1457.16,1438.33,1429.42,1137.53,1191.06,1677.82,835.80,1080.47,1356.53,943.94,825.61,1523.08,1160.90,1349.00,1492.40,1423.90,1003.34,863.50,1255.87,1153.77,619.33,791.91,344.39,1474.08,1476.70,361.93,1446.21,1441.85,618.95,1422.94,976.00,1184.65,1518.46,1459.32,1248.04,717.29,1488.48,615.16,407.39,1439.14,1473.99,1386.82,1759.96,916.05,545.42
1997,839.42,1496.97,824.29,310.57,1297.57,504.48,637.97,1079.19,1014.85,952.84,1338.80,1337.31,1664.03,697.75,1010.47,1105.55,871.24,838.97,1318.30,1432.88,1054.47,984.66,1111.40,865.04,747.95,1439.79,1092.67,572.56,622.87,297.38,1114.03,1004.86,522.49,1190.31,1181.82,590.85,1117.75,977.40,810.75,1081.48,1058.04,1311.79,654.27,1464.01,884.78,446.47,1131.80,1028.98,1259.24,1145.25,820.04,564.40
1998,884.01,1461.57,915.04,341.45,1237.27,884.41,540.01,1074.01,1004.24,1023.78,1171.31,1259.19,1299.58,808.81,1192.18,1146.37,1081.00,877.11,1250.91,1412.99,1225.73,1056.13,1119.44,846.87,846.55,1394.59,1307.61,588.83,738.08,490.51,1161.82,1010.22,394.25,1123.57,1347.62,702.30,1053.25,848.54,1110.81,1120.07,1136.78,1276.84,730.30,1296.19,733.96,455.14,1159.59,1135.67,1231.83,1271.40,852.42,569.81
1999,759.81,1075.78,873.88,228.89,1118.51,459.67,556.95,1125.38,1072.13,1011.63,1039.80,940.88,1472.03,618.22,888.94,917.71,839.00,837.38,1008.03,1028.81,1121.42,1065.46,1080.60,845.76,834.51,1059.85,932.23,525.26,677.12,247.88,1139.84,1121.14,416.41,1096.49,1218.78,629.18,935.68,883.92,857.83,1068.89,1090.99,1157.10,613.76,1099.09,603.19,336.39,1135.13,1031.89,1266.08,1104.09,822.73,506.37
2000,765.01,993.94,908.20,273.83,1119.71,553.86,476.60,1029.89,1148.32,969.78,852.31,920.53,1384.92,568.28,967.11,1136.73,835.80,722.98,1129.30,1045.24,1111.57,1045.19,1070.16,931.94,800.51,992.79,902.80,489.80,560.22,294.37,1135.23,1040.65,379.11,1250.20,1119.27,734.13,1142.72,919.74,756.07,1128.13,996.69,967.23,601.29,1089.91,736.36,355.59,1219.56,978.95,881.97,1152.11,900.35,465.15
2001,764.50,1252.97,862.53,273.03,1323.03,573.09,498.07,911.29,902.96,914.81,1096.02,945.65,1533.18,520.04,1038.04,1036.44,1026.52,777.13,1112.79,1444.78,825.27,905.33,904.94,927.01,844.68,1435.62,1089.34,449.00,735.60,253.93,871.18,854.15,336.37,965.26,917.76,533.20,1019.00,817.58,719.41,928.05,942.61,894.17,605.49,1270.08,755.36,301.02,909.28,890.91,1003.50,1083.94,857.63,386.12
