,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1998,5.31,13.78,-6.08,9.25,13.09,8.50,0.43,7.91,11.61,11.29,18.53,13.89,17.77,1.30,9.17,9.18,6.52,8.48,10.84,16.29,2.77,10.73,6.85,5.57,3.21,14.33,10.02,1.16,5.34,4.02,3.87,9.86,6.10,5.62,11.97,1.76,8.56,11.97,3.83,7.20,8.16,13.81,3.95,11.63,14.31,3.46,3.25,10.11,4.69,8.11,4.88,0.23
1999,4.54,13.01,-8.80,9.88,12.40,8.68,0.62,7.28,10.89,10.45,17.59,12.83,17.71,0.87,7.90,7.87,5.36,8.10,9.89,15.60,2.53,9.90,6.28,4.19,2.36,13.61,9.17,1.12,5.17,4.78,3.09,9.06,6.26,4.54,11.24,1.44,7.09,11.43,3.31,6.05,7.74,12.75,3.74,10.86,13.95,3.71,2.41,9.45,3.98,7.23,3.68,0.56
2000,4.68,12.58,-6.36,10.66,11.81,9.30,0.77,6.14,10.05,9.76,17.20,12.20,18.12,0.93,7.31,7.10,4.89,7.73,9.24,15.31,1.28,9.19,5.22,3.70,1.08,13.24,8.59,0.08,4.45,5.42,1.98,8.08,6.87,3.59,10.38,-0.03,6.62,11.04,3.47,5.35,6.71,11.96,2.58,10.25,14.12,4.28,1.26,8.72,3.53,6.71,2.91,-0.11
2001,4.82,12.70,-6.99,10.44,11.85,9.45,0.74,7.06,10.69,10.33,17.59,12.75,18.34,1.14,7.96,8.07,5.19,8.05,9.74,15.07,2.05,9.80,6.00,4.70,2.12,13.07,9.03,0.98,4.82,5.04,2.69,8.96,6.48,4.64,11.09,0.95,7.49,11.21,3.43,6.17,7.60,12.76,3.22,10.46,13.71,4.05,2.19,9.22,4.00,7.13,3.85,0.38
2002,4.89,13.33,-5.51,10.30,11.85,9.17,0.16,7.43,11.21,10.84,17.93,13.25,18.56,0.55,7.92,8.09,5.25,7.48,10.12,15.37,1.58,10.25,6.22,4.13,1.55,13.63,8.75,-0.11,4.46,4.89,2.75,9.43,6.52,4.69,11.52,0.23,7.66,10.60,3.40,6.46,7.75,13.16,3.00,11.00,13.47,3.45,2.14,9.71,4.06,7.65,3.44,-0.61
2003,4.86,12.77,-5.98,10.98,11.60,9.79,1.01,6.15,9.93,9.64,17.70,12.80,18.65,1.92,7.02,6.94,4.33,7.36,9.30,15.15,0.89,9.00,5.14,2.80,0.84,13.20,8.30,0.82,4.51,6.05,1.85,8.03,7.14,3.44,10.91,-0.10,6.45,10.60,4.49,5.19,6.71,12.63,2.74,10.30,13.60,4.58,1.22,8.89,4.76,6.81,2.25,0.47
2004,4.98,13.39,-5.86,10.45,12.21,9.49,0.78,6.51,10.53,10.38,17.73,13.26,18.83,1.37,7.60,7.73,5.12,7.93,9.97,15.77,0.86,9.73,5.42,3.41,1.27,13.70,8.85,0.73,4.86,4.71,2.13,8.61,6.52,3.82,11.24,0.12,7.12,11.16,4.36,5.90,6.85,13.00,3.21,10.90,13.92,3.77,1.43,9.56,5.17,7.54,2.85,0.25
2005,5.14,13.29,-5.96,10.91,12.40,9.59,1.29,6.90,10.38,10.27,17.73,13.18,18.50,0.95,8.03,7.88,5.62,8.20,10.03,15.74,1.83,9.68,5.84,4.06,2.37,13.66,9.29,0.71,5.14,4.81,2.72,8.71,7.21,4.28,11.14,1.25,7.18,11.26,3.90,5.95,7.22,12.84,3.66,10.98,13.88,4.29,2.05,9.37,4.57,7.45,3.53,0.37
2006,5.18,13.40,-7.23,10.58,12.51,9.43,1.00,7.86,11.19,10.72,17.79,13.16,18.44,1.43,8.39,8.34,6.21,8.49,10.12,15.87,3.18,10.29,6.94,4.91,3.07,13.78,9.69,1.51,5.27,4.85,3.96,9.57,7.13,5.29,11.25,1.92,7.84,11.83,4.10,6.85,8.27,12.92,4.06,11.06,14.38,3.98,3.31,9.63,4.50,7.67,4.34,0.64
2007,5.08,13.49,-6.55,10.89,12.77,9.37,1.18,6.84,10.71,10.53,18.16,13.33,18.23,1.51,8.15,8.17,5.44,8.11,10.45,15.88,0.99,9.89,5.72,4.26,2.07,13.91,9.44,1.41,5.16,5.03,2.19,8.86,6.74,4.02,11.50,0.89,7.40,11.44,3.80,6.03,7.21,13.23,3.75,11.47,13.72,4.26,1.55,9.64,4.23,7.62,3.71,0.59
